PLT_CN,H_D_5cm,H_H_5cm,H_D_10cm,H_H_10cm,TPA,TPH,density_group,mean_DBH_cm,BA_m2_ha,MAT_stand_age,MAP_stand_age,CWD_stand_age,Carbon_Mg_ha,INVYR,WD.FDis,WD.CWM,Shade.tolerance.FDis,Shade.tolerance.CWM,Drought.tolerance.FDis,Drought.tolerance.CWM,SLA.FDis,SLA.CWM,Leaf.longevity.FDis,Leaf.longevity.CWM,LDMC.FDis,LDMC.CWM,Nmass.FDis,Nmass.CWM,Pmass.FDis,Pmass.CWM,LMA.FDis,LMA.CWM,Plant_height.FDis,Plant_height.CWM,PC1.FDis,PC1.CWM,PC2.FDis,PC2.CWM,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CONDID,pltID,PREV_PLT_CN.x,REMPER,CONDID,LON,LAT,STDAGE,NA_L1NAME,NA_L2NAME,NA_L3NAME,pH_mean,bdod_mean,clay_mean,nitrogen_mean
1.00188E+14,1.873996657,0.984666449,1.266156022,0.687710827,349.046668,862.511769,Medium,27.178,56.21449509,10.88006596,1100.79792,125.7342105,77.89536782,2007,0.316218232,0.644355576,0.008725161,2.951058084,0.107310771,3.270833215,0.036164267,14.63370579,0.00191831,5.354804167,0.001347954,0.287740381,0.04279271,19.42205023,0.107124897,1.60592117,0.016951016,68.40320882,0.097078701,6.88430179,0.004044651,1.297776418,0.190864045,1.389725084,NA,0.593613739,NA,NA,0.368670072,0.449704847,1,4_51_163_35,4.36055E+13,6.6,1,-79.237466,37.864729,101,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,Blue Ridge,50.66666667,135.6666667,330.3333333,255
1.00188E+14,1.793838797,1.140778806,1.174493308,0.765691482,493.479772,1219.413191,High,21.37936585,48.18258272,4.665180669,855.1027545,93.63333333,63.83805369,2005,0.214094185,0.353347508,0.864972998,3.301629286,0.358116158,2.473988666,1.319272749,16.86768999,1.700432421,32.95385954,0.758947551,0.358574976,0.712023102,18.90023031,1.369747022,1.967194591,1.383618037,116.2968602,1.069337446,27.44536727,1.259133954,-0.353296475,0.657156486,-1.629664972,4.081234317,0.593613739,0.714585773,0.797282432,3.584952235,13.62011382,1,2_26_103_20489,5.49858E+13,3.3,1,-87.565214,46.263977,64,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,48.66666667,129.6666667,75.33333333,344
1.00189E+14,1.936683293,1.335923447,1.318473034,0.90057223,228.685748,565.0939176,Low,26.28231579,34.18535986,10.61288664,985.2728242,132.3736842,45.16676737,2007,0.367439891,0.487394466,0.489754281,3.311093606,0.900465404,3.184584233,0.409342146,23.2262129,0.070637103,7.187811756,0.31196069,0.26364355,0.458614524,21.85287089,0.316276072,1.771312103,0.1105471,44.46760421,0.643310184,11.02701293,0.12243637,1.925970251,0.817075301,0.061346801,1.123141125,0.593613739,0.823093878,0.823012605,1.554189736,2.536037031,1,4_51_165_54,4.38569E+13,9.9,1,-78.882557,38.739907,114,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,Ridge and Valley,48.33333333,125.6666667,178.6666667,448.6666667
1.0019E+14,1.737898587,1.06148675,1.227491596,0.597708318,433.299312,1070.704265,High,19.20522222,34.73814158,4.840948814,846.1585316,89.76388889,37.23714525,2005,0,0.66,0,2.946666667,0,3.328333333,0,14.48892157,0,5.331986984,0,0.287683511,0,19.29587815,0,1.576373,0,69.01824924,0,6.279637282,0,1.293291095,0,1.529006747,NA,0.593613739,NA,NA,0,0,1,2_26_103_20473,5.50119E+13,5,1,-87.481934,46.205438,55,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,52,130,82.33333333,514.6666667
1.00191E+14,1.701886217,0.603595994,1.214909279,0.480242479,252.757932,624.5774879,Low,26.02895238,36.28406167,5.12003931,850.4223989,79.68055556,61.10743759,2005,0.151695512,0.361158923,0.313136323,4.144337374,0.339650073,2.124396128,1.158487778,9.253823465,1.344395659,73.56220122,0.617190103,0.422011006,0.513536105,14.51360748,0.984949118,1.672047003,1.182995649,213.2837828,0.939281963,37.05371701,1.133180966,-2.976905134,0.452601112,-2.650061691,NA,0.593613739,NA,NA,2.698595692,10.57421193,1,2_26_103_20986,5.50227E+13,4.1,1,-87.243808,46.109155,76,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,51,133.3333333,96.66666667,305.6666667
1.00191E+14,1.900562061,1.076235051,1.498964021,0.503061741,565.696324,1397.863901,High,25.17842553,80.2589929,4.131876015,927.2160909,83.625,124.1931357,2005,0.288577113,0.377126649,0.733239015,3.639716054,0.744639338,2.656315338,1.091072284,11.96049975,1.913322665,49.83207958,0.790538264,0.390300871,0.579070665,13.1126596,0.842080187,1.754209502,1.554355726,158.3593663,1.397378641,27.66568896,1.244585967,-1.875682677,1.074030252,-1.573136121,8.630052181,0.593613739,0.987367702,0.821869852,3.651748868,13.59647682,1,2_26_103_20992,5.50255E+13,3.8,1,-87.797187,46.485772,61,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,46,121.3333333,62,393.3333333
1.00191E+14,1.662779718,1.16957451,1.066207559,0.545068775,373.118852,921.9953392,Medium,22.15535484,39.23725431,11.17072975,1121.589335,84.09210526,51.66237402,2007,0.339367862,0.428969658,0.25898872,4.164553559,0.359059626,2.209765081,1.051827451,16.71594015,1.561636925,30.09876764,0.929093965,0.340054831,0.955939416,20.87683903,0.516805906,1.747289182,1.314786625,109.2246847,0.843984738,25.48239002,1.33001827,0.123375065,0.49368503,-1.773813844,17.25285664,0.593613739,0.588613282,0.886331929,3.064843401,11.14467494,1,5_51_173_7,4.38008E+13,7.3,1,-81.552245,36.875767,100,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,Ridge and Valley,50,132.3333333,395.6666667,289.3333333
1.00193E+14,1.488486849,0.181044769,0.91646757,0,397.191036,981.4789095,High,16.9410303,23.56661591,5.316733373,839.128397,88.67777778,21.07972851,2005,0,0.66,0,2.946666667,0,3.328333333,0,14.48892157,0,5.331986984,0,0.287683511,0,19.29587815,0,1.576373,0,69.01824924,0,6.279637282,0,1.293291095,0,1.529006747,NA,0.593613739,NA,NA,0,0,1,1_26_109_20218,5.50513E+13,4.1,1,-87.542481,45.868537,52,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,56.33333333,132,93,315
1.00194E+14,1.98692996,1.320054558,1.416357103,0.985538403,361.08276,892.2535541,Medium,28.21093333,63.80047477,13.64377905,1005.432101,173.5184211,102.9181714,2007,0.871763394,0.474652388,0.468151581,3.441212831,0.57761232,3.040448933,1.511549437,14.84512713,1.352647253,29.80779699,1.084336094,0.377860299,1.290874702,17.63387823,0.577689654,1.502073347,1.157159159,130.5365443,0.875876332,22.86562107,1.275029525,-0.715756839,0.901515643,-0.479762963,11.86539563,0.593613739,0.77900473,0.762745886,3.535487131,13.36273878,1,3_51_179_24,4.37917E+13,7.8,1,-77.582102,38.407144,75,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,Piedmont,50.33333333,144.3333333,219.6666667,236
1.00194E+14,1.747936074,1.038138507,1.208951076,0.421843694,324.974484,803.0281987,Medium,25.40940741,44.69529563,13.49550491,1027.720333,201.871875,84.58080285,2007,0,0.42,0,3.47,0,3.03,0,27,0,5.609099447,0,0.302579994,0,25,0,1.7,0,37.03703704,0,10.02481866,0,2.089948948,0,-0.437837627,NA,0.593613739,NA,NA,0,0,1,3_51_179_12,4.3611E+13,6.5,1,-77.516209,38.487952,32,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,Piedmont,53.66666667,143.6666667,236.3333333,231
1.00196E+14,1.839714684,0.756072701,1.270065713,0.63488737,300.9023,743.5446284,Medium,24.32304,38.46534919,6.474542129,881.0705752,133.2944444,57.0339314,2005,0.169436891,0.35960746,0.349758831,4.111756651,0.379373466,2.162019105,1.293977417,10.21262571,1.501627945,70.25647888,0.689372879,0.416628016,0.573596144,14.82661911,1.100142738,1.728209963,1.321351578,204.4104437,1.049134632,35.84428204,1.265710875,-2.717123806,0.505534567,-2.581783586,NA,0.593613739,NA,NA,3.014206924,11.81090702,1,3_26_113_20165,5.51217E+13,4.3,1,-85.045919,44.46182,67,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,52,132.6666667,149.3333333,467.6666667
1.00197E+14,1.715855745,0.911395243,1.209499751,0.673826603,601.8046,1487.089257,High,19.74088,49.71237749,6.293049698,842.9102302,125.1916667,73.04168872,2005,0,0.47,0,3,0,2.63,0,16.24731183,0,5.609099447,0,0.288374192,0,20.82822577,0,1.935232641,0,61.54864327,0,13.6232288,0,1.347764907,0,-0.162555476,NA,0.593613739,NA,NA,0,0,1,3_26_119_20119,5.51484E+13,4.2,1,-84.139768,45.123229,76,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,59.33333333,132.6666667,161,359.6666667
1.002E+14,1.713624447,1.21680736,1.43546534,0.965419917,216.649656,535.3521325,Low,27.60133333,43.23663307,7.766425999,940.807684,132.6111111,82.48481837,2005,0,0.47,0,3,0,2.63,0,16.24731183,0,5.609099447,0,0.288374192,0,20.82822577,0,1.935232641,0,61.54864327,0,13.6232288,0,1.347764907,0,-0.162555476,NA,0.593613739,NA,NA,0,0,1,3_26_123_20051,5.51911E+13,4,1,-85.615362,43.600836,75,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,54,141,89.33333333,509.6666667
1.00201E+14,1.668934245,1.343852644,1.071916367,0.776868402,288.866208,713.8028433,Medium,21.717,29.00687418,14.7935663,1084.576314,147.1944444,49.0029304,2007,0,0.56,0,3.71,0,2,0,17.7143707,0,5.6,0,0.284668102,0,19.9089522,0,2.233333333,0,56.45134207,0,27.52075568,0,1.743539731,0,-1.077557383,NA,0.593613739,NA,NA,0,0,1,2_51_7_21,4.38773E+13,8.1,1,-77.889042,37.436385,18,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,Piedmont,51,145,225.6666667,184
1.00201E+14,1.991572563,1.385312332,1.339639673,1.042674281,337.010576,832.7699838,Medium,24.53821429,46.41904627,14.72001057,1131.833791,152.6815789,94.40604718,2007,0.467746904,0.501538209,0.430112974,3.819014988,0.362984728,2.491362846,0.340810056,20.43143806,0.021367384,6.106937092,0.721936298,0.330671826,0.313555903,21.09927447,0.387330375,1.987907798,0.066412488,50.3637408,0.261476067,23.40631316,0.275134918,1.482920018,0.140839645,-0.977639738,0.358303519,0.593613739,0.507864329,0.672951048,1.322014026,2.106213728,1,2_51_7_28,4.39277E+13,9.6,1,-77.661898,37.247346,59,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,Piedmont,50,148,218.6666667,208.6666667
